"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 08 15:26:01 GMT 2024","Wed May 08 15:26:01 GMT 2024","66","","","","YourCartPageTests","AfterCLickingContinueShoppingUserIsNavigatedToProductsPage","After clicking Continue Shopping button user is navigated to Products page","Test description"
"broken","Wed May 08 15:26:01 GMT 2024","Wed May 08 15:26:01 GMT 2024","67","Cart suite","Shopping cart suite","Checkout button suite","YourCartPageTests","CheckoutButtonIsDisplayed","Check that CHckout button is displayed","Test description"
"broken","Wed May 08 15:26:01 GMT 2024","Wed May 08 15:26:01 GMT 2024","72","","","","YourCartPageTests","FailingTest","Check that test fails and screenshot is added","Test description"
"broken","Wed May 08 15:26:01 GMT 2024","Wed May 08 15:26:01 GMT 2024","72","Cart suite","Shopping cart suite","Shopping cart buttons suite","YourCartPageTests","ContinueShoppingButtonIsDisplayed","Check continue shopping button","Test description"
"broken","Wed May 08 15:26:01 GMT 2024","Wed May 08 15:26:01 GMT 2024","92","","","","YourCartPageTests","ItemIsDisplayedInCart","Check that added item is displayed in cart","Test description"
