"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 08 13:38:55 GMT 2024","Wed May 08 13:38:55 GMT 2024","88","","","","YourCartPageTests","ItemIsDisplayedInCart","Check that added item is displayed in cart","Test description"
"broken","Wed May 08 13:38:54 GMT 2024","Wed May 08 13:38:54 GMT 2024","69","","","","YourCartPageTests","AfterCLickingContinueShoppingUserIsNavigatedToProductsPage","After clicking Continue Shopping button user is navigated to Products page","Test description"
"broken","Wed May 08 13:38:54 GMT 2024","Wed May 08 13:38:55 GMT 2024","70","Cart suite","Shopping cart suite","Shopping cart buttons suite","YourCartPageTests","ContinueShoppingButtonIsDisplayed","Check continue shopping button","Test description"
"broken","Wed May 08 13:38:54 GMT 2024","Wed May 08 13:38:54 GMT 2024","71","Cart suite","Shopping cart suite","Checkout button suite","YourCartPageTests","CheckoutButtonIsDisplayed","Check that CHckout button is displayed","Test description"
"broken","Wed May 08 13:38:55 GMT 2024","Wed May 08 13:38:55 GMT 2024","70","","","","YourCartPageTests","FailingTest","Check that test fails and screenshot is added","Test description"
