"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 23 07:48:26 GMT 2024","Thu May 23 07:48:26 GMT 2024","660","Cart suite","Shopping cart suite","Shopping cart buttons suite","YourCartPageTests","ContinueShoppingButtonIsDisplayed","Check continue shopping button","Test description"
"failed","Thu May 23 07:48:26 GMT 2024","Thu May 23 07:48:27 GMT 2024","827","","","","YourCartPageTests","FailingTest","Check that test fails and screenshot is added","Test description"
"passed","Thu May 23 07:48:25 GMT 2024","Thu May 23 07:48:26 GMT 2024","655","Cart suite","Shopping cart suite","Checkout button suite","YourCartPageTests","CheckoutButtonIsDisplayed","Check that CHckout button is displayed","Test description"
"passed","Thu May 23 07:48:27 GMT 2024","Thu May 23 07:48:28 GMT 2024","738","","","","YourCartPageTests","ItemIsDisplayedInCart","Check that added item is displayed in cart","Test description"
"passed","Thu May 23 07:48:24 GMT 2024","Thu May 23 07:48:25 GMT 2024","688","","","","YourCartPageTests","AfterCLickingContinueShoppingUserIsNavigatedToProductsPage","After clicking Continue Shopping button user is navigated to Products page","Test description"
